"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd06","Idxtrd07"
"399001","2016-11-28","11078.773","11108.865","11045.684","11068.867","1113282.16","15665778.17"
"399001","2016-11-29","11039.622","11124.811","11026.298","11034.702","1133703.40","15474277.23"
"399001","2016-11-30","11023.657","11072.055","10983.181","11012.193","978340.57","13875565.21"
"399001","2016-12-01","11037.115","11090.931","11036.611","11088.157","954055.32","13854868.69"
"399001","2016-12-02","11074.536","11078.291","10905.393","10912.627","1011035.59","13909923.73"
"399001","2016-12-05","10776.122","10894.077","10762.846","10784.332","913776.81","12445917.50"
"399001","2016-12-06","10798.802","10833.809","10774.360","10779.765","698338.13","10234542.75"
"399001","2016-12-07","10780.212","10855.718","10751.202","10855.718","745217.65","9653012.66"
"399001","2016-12-08","10865.221","10865.221","10804.741","10812.297","783832.05","10222483.46"
"399001","2016-12-09","10802.176","10835.912","10766.555","10789.624","775885.44","10700016.29"
"399001","2016-12-12","10774.593","10775.570","10292.540","10302.853","1151268.77","15302405.09"
"399001","2016-12-13","10280.437","10364.064","10192.130","10332.276","818127.96","10397013.52"
"399001","2016-12-14","10318.070","10333.659","10213.946","10232.819","792219.79","9970805.35"
"399001","2016-12-15","10202.244","10331.976","10194.999","10256.108","755871.99","9589940.01"
"399001","2016-12-16","10258.644","10346.532","10239.215","10334.757","679873.99","8752581.86"
"399001","2016-12-19","10330.611","10330.611","10262.687","10283.164","655634.91","8049444.09"
"399001","2016-12-20","10275.440","10276.628","10204.018","10245.332","635823.26","7646382.20"
"399001","2016-12-21","10266.189","10320.336","10266.189","10313.569","624910.34","7951880.93"
"399001","2016-12-22","10310.724","10323.069","10257.316","10306.924","586604.32","7418071.62"
"399001","2016-12-23","10304.635","10311.389","10196.721","10199.861","632941.02","7907260.95"
"399001","2016-12-26","10163.507","10233.419","10062.374","10233.419","613957.26","7861068.79"
"399001","2016-12-27","10229.907","10270.976","10221.665","10230.571","525861.72","6806116.07"
"399001","2016-12-28","10229.012","10246.773","10169.798","10187.160","519501.58","6443636.74"
"399001","2016-12-29","10177.025","10222.523","10151.278","10159.447","493489.56","6447160.84"
"399001","2016-12-30","10175.497","10204.090","10145.112","10177.138","504353.25","6523630.77"
"399001","2017-01-03","10205.141","10275.132","10205.141","10262.847","621935.41","7788159.27"
"399001","2017-01-04","10264.429","10384.867","10255.752","10384.867","722962.91","9993175.15"
"399001","2017-01-05","10382.596","10396.905","10365.442","10371.471","680949.81","9177060.33"
"399001","2017-01-06","10362.852","10363.122","10286.521","10289.362","618570.24","8652466.74"
"399001","2017-01-09","10281.307","10337.704","10258.366","10331.792","619337.35","8582359.34"
"399001","2017-01-10","10327.007","10357.143","10301.686","10306.337","646074.93","8234366.02"
"399001","2017-01-11","10294.300","10331.373","10213.863","10215.476","619943.91","7779130.25"
"399001","2017-01-12","10207.428","10236.092","10127.415","10131.231","624182.39","7345731.69"
"399001","2017-01-13","10135.677","10155.220","9997.404","10008.301","597886.23","7686034.21"
"399001","2017-01-16","9993.564","9993.564","9482.838","9712.796","826993.84","10332468.63"
"399001","2017-01-17","9684.527","9827.914","9611.189","9826.788","576983.69","7555909.82"
"399001","2017-01-18","9801.082","9858.788","9774.755","9804.758","463930.18","6289788.62"
"399001","2017-01-19","9781.643","9821.222","9746.300","9768.574","454840.56","5400062.78"
"399001","2017-01-20","9763.037","9925.169","9762.783","9906.140","528959.83","6885930.95"
"399001","2017-01-23","9919.408","10010.081","9919.408","9976.191","568181.22","6849927.62"
"399001","2017-01-24","9972.612","9978.268","9928.078","9941.547","510767.67","6242457.17"
"399001","2017-01-25","9931.623","9991.503","9922.487","9977.963","432935.45","5336924.68"
"399001","2017-01-26","9989.852","10053.357","9989.354","10052.050","451695.92","5498027.24"
"399001","2017-02-03","10061.292","10066.702","9985.303","10004.844","451442.17","5033530.90"
"399001","2017-02-06","10004.221","10080.584","9984.644","10078.734","518621.56","6557779.69"
"399001","2017-02-07","10072.507","10093.672","10011.773","10055.566","534705.67","6916219.82"
"399001","2017-02-08","10043.608","10130.121","10003.915","10130.121","575221.69","7586910.56"
"399001","2017-02-09","10124.447","10194.418","10116.453","10182.728","689794.08","8881175.52"
"399001","2017-02-10","10184.567","10212.483","10155.362","10186.376","756020.06","9035776.19"
"399001","2017-02-13","10188.709","10279.120","10187.094","10270.825","779949.84","9625705.83"
"399001","2017-02-14","10273.090","10286.368","10234.374","10264.918","651033.39","8197397.00"
"399001","2017-02-15","10259.950","10294.768","10160.110","10177.252","789315.14","9753466.62"
"399001","2017-02-16","10175.122","10253.957","10163.238","10253.957","692861.28","8367321.97"
"399001","2017-02-17","10261.095","10296.144","10183.375","10197.918","749355.59","9541378.24"
"399001","2017-02-20","10203.021","10334.591","10203.021","10328.997","763029.71","9784665.29"
"399001","2017-02-21","10338.866","10407.137","10330.285","10405.746","819714.17","10662001.46"
"399001","2017-02-22","10403.917","10444.377","10385.098","10444.377","809706.41","10326146.24"
"399001","2017-02-23","10439.834","10454.156","10379.054","10432.639","866520.18","11059041.93"
"399001","2017-02-24","10423.642","10446.503","10396.745","10443.730","765675.40","10288309.57"
"399001","2017-02-27","10443.297","10447.678","10345.469","10353.555","740778.28","9924662.01"
"399001","2017-02-28","10354.870","10402.275","10340.088","10391.344","643572.91","8538110.21"
"399001","2017-03-01","10387.631","10446.382","10378.122","10418.622","750714.37","10056463.71"
"399001","2017-03-02","10429.983","10443.868","10361.998","10367.306","722156.34","9697431.35"
"399001","2017-03-03","10339.891","10404.870","10308.217","10397.047","698257.17","10153170.61"
"399001","2017-03-06","10406.232","10522.277","10406.232","10522.277","782502.14","11947147.89"
"399001","2017-03-07","10527.828","10552.144","10495.505","10552.144","756399.64","11552814.15"
"399001","2017-03-08","10549.994","10549.994","10473.882","10498.313","637718.17","9577945.64"
"399001","2017-03-09","10484.278","10484.680","10402.364","10421.058","674068.27","9635216.20"
"399001","2017-03-10","10415.379","10476.589","10415.379","10451.008","615382.40","9533191.74"
"399001","2017-03-13","10450.648","10559.883","10402.721","10559.883","764221.67","11429163.52"
"399001","2017-03-14","10561.501","10577.484","10515.517","10531.729","720398.31","11083848.70"
"399001","2017-03-15","10515.593","10551.711","10499.851","10543.010","696018.94","10391615.94"
"399001","2017-03-16","10573.772","10628.184","10573.772","10624.421","858558.56","12615418.39"
"399001","2017-03-17","10632.045","10650.455","10514.674","10515.414","878841.85","12994677.19"
"399001","2017-03-20","10512.888","10534.114","10459.736","10532.331","698388.35","10601922.58"
"399001","2017-03-21","10527.408","10586.621","10513.634","10586.621","667333.80","10633583.87"
"399001","2017-03-22","10535.665","10586.484","10488.634","10553.527","788494.80","11528039.48"
"399001","2017-03-23","10558.343","10607.734","10477.567","10583.043","765511.25","11590121.86"
"399001","2017-03-24","10584.086","10666.119","10580.109","10646.724","834320.14","11991555.02"
"399001","2017-03-27","10643.451","10660.227","10578.746","10581.919","746753.04","11023321.47"
"399001","2017-03-28","10580.163","10606.087","10538.023","10563.285","654257.97","9635339.58"
"399001","2017-03-29","10573.120","10585.882","10497.012","10520.817","781062.78","11038240.48"
"399001","2017-03-30","10505.392","10513.885","10328.950","10348.271","850241.89","11568267.99"
"399001","2017-03-31","10351.331","10428.723","10351.331","10428.723","636834.52","9380524.39"
"399001","2017-04-05","10496.780","10628.603","10496.780","10627.134","959151.65","13678941.68"
"399001","2017-04-06","10649.836","10661.767","10608.130","10656.174","883240.55","12575644.83"
"399001","2017-04-07","10652.404","10702.883","10635.080","10669.480","1044876.24","13896892.87"
"399001","2017-04-10","10663.856","10664.096","10593.764","10603.276","1231930.40","16086262.57"
"399001","2017-04-11","10601.000","10662.501","10476.657","10655.791","1370137.20","18537790.59"
"399001","2017-04-12","10643.485","10667.599","10584.695","10587.313","1391947.45","16851039.72"
"399001","2017-04-13","10578.576","10678.784","10571.700","10654.085","1094502.06","13185058.54"
"399001","2017-04-14","10662.255","10662.532","10515.374","10519.856","1115148.26","13586052.61"
"399001","2017-04-17","10483.958","10505.633","10406.516","10450.862","886240.34","11208274.61"
"399001","2017-04-18","10449.008","10522.851","10405.349","10411.439","872478.70","11361632.44"
"399001","2017-04-19","10377.278","10393.734","10234.998","10348.407","924533.74","11823511.79"
"399001","2017-04-20","10346.990","10411.747","10306.386","10359.090","845544.78","11354006.48"
"399001","2017-04-21","10357.858","10407.775","10300.398","10314.353","710258.67","9150492.11"
"399001","2017-04-24","10285.043","10285.043","10060.108","10091.888","760936.77","9704584.29"
"399001","2017-04-25","10106.903","10213.487","10104.546","10165.215","747050.25","9664582.55"
"399001","2017-04-26","10162.716","10251.702","10161.418","10204.843","844344.21","11211022.29"
"399001","2017-04-27","10174.249","10244.084","10015.889","10229.194","963235.83","12430288.64"
"399001","2017-04-28","10208.133","10235.228","10176.082","10234.653","809702.27","10411581.75"
"399001","2017-05-02","10205.655","10228.704","10166.391","10223.969","773316.48","9934861.08"
"399001","2017-05-03","10208.599","10244.353","10146.260","10184.136","760503.71","9571646.61"
"399001","2017-05-04","10164.808","10241.545","10116.011","10147.440","797524.16","10151170.49"
"399001","2017-05-05","10119.538","10132.916","10024.436","10024.436","775178.14","9816519.81"
"399001","2017-05-08","10000.954","10018.571","9833.167","9833.167","823177.78","9786845.01"
"399001","2017-05-09","9794.814","9887.153","9736.138","9885.344","644776.78","8273526.67"
"399001","2017-05-10","9875.737","9945.613","9756.809","9756.809","747873.48","9537536.08"
"399001","2017-05-11","9704.880","9776.514","9566.419","9776.450","821579.83","9809800.38"
"399001","2017-05-12","9755.873","9794.987","9703.100","9787.986","639948.45","7947210.22"
"399001","2017-05-15","9812.376","9866.066","9812.376","9845.603","617018.20","7971641.03"
"399001","2017-05-16","9819.710","10046.662","9761.349","10046.662","900688.38","11560079.74"
"399001","2017-05-17","10030.363","10091.468","10019.356","10030.112","910788.61","11753595.73"
"399001","2017-05-18","9955.859","10045.680","9936.307","9974.348","704912.46","9213649.09"
"399001","2017-05-19","9978.495","10005.714","9922.763","9970.962","639653.91","8523500.91"
"399001","2017-05-22","9958.294","10014.939","9864.951","9899.645","722622.70","9061309.28"
"399001","2017-05-23","9878.380","9914.495","9761.311","9763.783","804974.39","10014784.78"
"399001","2017-05-24","9722.036","9812.458","9609.407","9812.458","659758.66","8269237.37"
"399001","2017-05-25","9792.095","9917.812","9727.513","9893.778","830130.10","10225429.52"
"399001","2017-05-26","9871.683","9913.482","9838.699","9859.235","722476.86","9281436.06"
"399001","2017-05-31","9944.123","9976.645","9855.297","9864.845","746697.68","9162369.77"
"399001","2017-06-01","9833.825","9854.549","9730.062","9730.326","701652.38","8643389.15"
"399001","2017-06-02","9708.719","9811.581","9637.539","9794.889","646512.90","7898137.49"
"399001","2017-06-05","9799.809","9866.344","9799.650","9842.602","580351.73","7451257.48"
"399001","2017-06-06","9834.541","9915.923","9821.132","9915.923","538915.45","7082297.32"
"399001","2017-06-07","9915.178","10117.061","9910.534","10109.876","889548.66","11541363.26"
"399001","2017-06-08","10104.593","10162.483","10097.657","10148.722","778128.48","10180236.69"
"399001","2017-06-09","10147.021","10182.611","10124.941","10177.447","712698.76","9491832.19"
"399001","2017-06-12","10144.118","10197.097","10108.976","10119.987","729681.70","9857976.93"
"399001","2017-06-13","10104.710","10237.404","10102.500","10224.818","731052.14","9477054.09"
"399001","2017-06-14","10208.840","10226.151","10138.823","10151.534","736501.71","9749158.65"
"399001","2017-06-15","10140.082","10225.052","10134.408","10221.692","787228.41","10314308.95"
"399001","2017-06-16","10212.981","10233.799","10176.857","10191.240","684575.32","8606896.74"
"399001","2017-06-19","10191.981","10262.800","10191.866","10262.800","657283.69","8516123.99"
"399001","2017-06-20","10281.570","10323.005","10273.061","10288.527","799733.08","10311477.39"
"399001","2017-06-21","10327.131","10367.173","10269.323","10367.173","775618.64","10198238.74"
"399001","2017-06-22","10361.337","10418.609","10265.200","10265.200","921384.82","12424984.52"
"399001","2017-06-23","10249.793","10366.777","10196.390","10366.777","840731.33","11279172.98"
"399001","2017-06-26","10377.223","10537.591","10377.223","10537.591","991761.94","13351769.16"
"399001","2017-06-27","10532.566","10548.797","10479.354","10535.364","808462.58","10758987.95"
"399001","2017-06-28","10507.049","10517.937","10436.079","10451.565","773169.98","10383708.53"
"399001","2017-06-29","10460.382","10523.522","10459.936","10511.860","787024.34","10528132.29"
"399001","2017-06-30","10475.225","10537.501","10454.884","10529.609","749497.47","9935643.89"
"399001","2017-07-03","10531.734","10541.864","10464.681","10535.046","860282.46","11848608.20"
"399001","2017-07-04","10527.774","10527.774","10437.404","10474.828","869434.23","12369084.87"
"399001","2017-07-05","10443.031","10561.089","10434.677","10561.089","874998.91","12534597.74"
"399001","2017-07-06","10547.512","10574.110","10467.910","10562.055","1047644.58","14204275.03"
"399001","2017-07-07","10526.782","10564.308","10504.097","10563.717","988243.86","12813912.81"
"399001","2017-07-10","10542.552","10574.214","10497.389","10505.601","1112125.61","13833785.69"
"399001","2017-07-11","10488.894","10568.373","10467.125","10467.711","960229.18","13039674.33"
"399001","2017-07-12","10465.866","10494.249","10360.100","10453.193","960496.29","12660530.48"
"399001","2017-07-13","10444.778","10491.394","10431.499","10466.103","877171.81","11655316.36"
