"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd06","Idxtrd07"
"000001","2016-08-24","3092.020","3097.148","3079.548","3085.880","1457074.40","16836252.85"
"000001","2016-08-25","3073.444","3073.444","3041.505","3068.329","1740329.80","20085975.14"
"000001","2016-08-26","3069.850","3087.652","3063.894","3070.309","1496639.01","17630949.82"
"000001","2016-08-29","3068.460","3074.943","3058.785","3070.027","1445000.07","16639734.62"
"000001","2016-08-30","3071.440","3082.988","3065.971","3074.677","1404348.11","16387882.30"
"000001","2016-08-31","3072.916","3087.698","3063.396","3085.491","1413686.09","16898611.77"
"000001","2016-09-01","3083.961","3088.704","3062.876","3063.305","1551910.93","17709329.53"
"000001","2016-09-02","3057.495","3072.526","3050.492","3067.352","1504469.20","17059213.99"
"000001","2016-09-05","3070.707","3085.485","3065.329","3072.095","1449633.17","16124367.53"
"000001","2016-09-06","3071.055","3095.509","3053.187","3090.713","1729085.24","19305772.91"
"000001","2016-09-07","3091.329","3105.678","3087.879","3091.928","1869567.63","20716212.15"
"000001","2016-09-08","3089.953","3096.783","3083.902","3095.954","1458837.71","16594447.27"
"000001","2016-09-09","3095.427","3101.792","3078.218","3078.855","1606929.24","18205623.25"
"000001","2016-09-12","3037.507","3040.952","2999.929","3021.977","2060120.86","22184656.90"
"000001","2016-09-13","3025.035","3029.721","3008.741","3023.510","1353875.80","15279130.60"
"000001","2016-09-14","3008.904","3017.945","2995.416","3002.849","1334134.01","14814896.99"
"000001","2016-09-19","3005.323","3026.651","3005.323","3026.051","1192250.27","13316882.81"
"000001","2016-09-20","3027.172","3027.817","3015.880","3023.000","1189241.17","13966230.32"
"000001","2016-09-21","3021.576","3032.450","3017.541","3025.874","1157212.13","13413372.64"
"000001","2016-09-22","3038.422","3054.435","3035.070","3042.313","1393095.54","15903106.41"
"000001","2016-09-23","3044.786","3046.805","3032.802","3033.896","1255909.76","14737773.63"
"000001","2016-09-26","3028.243","3028.243","2980.117","2980.430","1443302.86","16225724.64"
"000001","2016-09-27","2974.593","2998.233","2969.132","2998.172","1217014.50","13337270.84"
"000001","2016-09-28","3000.695","3000.695","2984.321","2987.858","1046256.97","11643737.75"
"000001","2016-09-29","2992.168","3009.198","2991.909","2998.483","1132139.19","12272857.01"
"000001","2016-09-30","2994.251","3009.195","2993.062","3004.703","1013335.62","11279453.85"
"000001","2016-10-10","3020.457","3048.236","3014.620","3048.143","1600511.04","17552179.26"
"000001","2016-10-11","3051.622","3066.104","3048.018","3065.250","1672734.96","18378764.84"
